数据ID,房间名称,房间编号,洁净等级,房间吊顶高度,房间面积,室压,房间人数,房间夏季温度,房间冬季温度,温度控制精度,房间夏季相对湿度,房间冬季相对湿度,湿度控制精度,职业暴露等级,电热设备功率,电热设备有无排风,电热设备有无保温,电动设备功率,电动设备效率,其他设备表面面积,其他设备表面温度,敞开水面表面面积,敞开水面表面温度,设备是否连续排风,设备排风量,是否连续排湿除味,排湿除味排风率,除尘排风粉尘量,除尘排风排风率,是否事故排风,事故通风介质,层流保护区域,层流保护面积,监控温度,监控相对湿度,监控压差,备注,系统编号,所在楼层,是否防爆区,
'218DD,压丸间,A34,D,3,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'218B3,物净,A37,CNC,2.6,0,5,1,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1A,,1,
'21889,气锁,A38,D,2.6,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,1,
'2185F,配料间,A35,D,4.5,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,1,
'21835,化胶间,A43,D,4.5,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,1,
'2180B,称量前暂存间,A42,D,2.6,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'217E1,称量间1,A48,D,3.2,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,少量,100,,,,,,,,,1A,,0,
'217B7,称量间2,A57,D,3.2,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,少量,100,,,,,,,,,1A,,0,
'2178D,前室,A49,D,2.6,0,20,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'21763,前室,A55,D,2.6,0,20,2,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'21738,洁净走廊,A58,D,2.6,0,25,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'2170E,洗衣,A69,D,2.6,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,1,
'216E4,女一更,A64,CNC,2.6,0,5,2,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1A,,1,
'216BA,男一更,A62,CNC,2.6,0,5,1,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'21690,女二更,A66,D,2.6,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'21666,男二更,A63,D,2.6,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'2163C,整衣,A70,D,2.6,0,20,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'21612,缓冲,A65,D,2.6,0,20,2,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'215E8,粉剂混合间,A61,D,5,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'215BE,称量后暂存间,A56,D,2.6,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,1,
'21594,器具暂存间,A44,D,2.6,0,30,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,1,
'2156A,制粒辅机房,A72,CNC,2.8,0,,2,,,,,,,,,,,,,,,,,,,,,,,是,乙醇,,,,,,,1A,,1,
'21540,压片前室,A21,D,2.6,0,20,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,1,
'21516,压片间2,A16,D,4.5,0,15,1,,,18-26,,,45-65,,,,,,,,,,,间歇,取风400,,,少量,100,,,,,,,,,1A,,0,
'214EC,压片间1,A25,D,4.5,0,15,2,,,18-26,,,45-65,,,,,,,,,,,间歇,取风400,,,少量,100,,,,,,,,,1A,,0,
'214C2,总混间,A32,D,4.5,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'21498,中试制粒间,A40,D,3,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,,,少量,100,,,,,,,,,1A,,0,
'2146E,正压门斗1,A52,D,2.6,0,30,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'21444,正压门斗2,A47,D,2.6,0,30,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1A,,0,
'2141A,废胶处理间,A46,D,2.6,0,15,2,,,18-26,,,45-65,,,,,,,,,,,,,,,,,是,乙醇,,,,,,,1A,,1,
'213F0,制粒配浆间,A53,D,2.6,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,,,少量,100,是,乙醇,,,,,,,1A,,1,
'213C6,制粒间,A59,D,4.2,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,,,少量,100,是,乙醇,,,,,,,1A,,1,
