数据ID,房间名称,房间编号,洁净等级,房间吊顶高度,房间面积,室压,房间人数,房间夏季温度,房间冬季温度,温度控制精度,房间夏季相对湿度,房间冬季相对湿度,湿度控制精度,职业暴露等级,电热设备功率,电热设备有无排风,电热设备有无保温,电动设备功率,电动设备效率,其他设备表面面积,其他设备表面温度,敞开水面表面面积,敞开水面表面温度,设备是否连续排风,设备排风量,是否连续排湿除味,排湿除味排风率,除尘排风粉尘量,除尘排风排风率,是否事故排风,事故通风介质,层流保护区域,层流保护面积,监控温度,监控相对湿度,监控压差,备注,系统编号,所在楼层,是否防爆区,
'23181,洁具暂存间,D37,D,2.6,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1D,,0,
'23157,模具间,D31,D,2.6,0,30,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1D,,1,
'2312D,器具暂存间,D33,D,2.6,0,30,2,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1D,,1,
'23103,器具清洗间,D32,D,2.6,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,间歇,50,,,,,,,,,,,1D,,1,
'230D9,干法制粒间,C60,D,3,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,少量,100,,,,,,,,,1C,,1,
'230AF,整衣,D27,D,2.6,0,20,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1D,,0,
'23085,洗衣,D36,D,2.6,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1D,,0,
'2305B,女一更,D35,CNC,2.6,0,5,1,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1D,,0,
'23031,男一更,D34,CNC,2.6,0,5,1,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1D,,0,
'23007,女二更,D29,D,2.6,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1D,,0,
'22FDD,男二更,D30,D,2.6,0,15,2,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1D,,0,
'22FB3,整衣,C50,D,2.6,0,20,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,1,
'22F89,洗衣,C61,D,2.6,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,1,
'22F5F,膏剂内包间,D19,D,3,0,15,2,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1D,,1,
'22F35,膏剂内包缓冲,D16,CNC,2.6,0,5,1,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1D,,1,
'22F0B,货厅,B01,,2.8,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1B,,0,
'22EE1,生产管理,B34,,3,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1B,,0,
'22EB7,配电间,B03,,2.8,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1B,,0,
'22E8D,空调机房,B12,,2.8,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1B,,0,
'22E63,下瓶间,B06,CNC,2.8,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1B,,0,
'22E39,外包间,B02,CNC,3.5,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1B,,0,
'22E0F,装盘灯检间,B04,CNC,2.8,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1B,,1,
'22DE5,上瓶间,B24,CNC,2.8,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1B,,1,
'22DBB,包材暂存间,B31,CNC,2.8,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1B,,0,
'22D91,不合格品间,B05,CNC,2.6,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1B,,0,
'22D67,标签暂存间,B07,CNC,2.6,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1B,,0,
'22D3D,CIP间,B08,C,3,0,15,1,,,,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1B,,0,
'22D13,化糖间,B13,C,4,0,15,2,,,,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1B,,0,
'22CE9,配液间,B10,C,4.5,0,15,1,,,,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1B,,0,
'22CBF,灌装间,B17,C,3,0,15,1,,,,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1B,,1,
'22C95,预留塑料瓶理瓶间,B16,C,3,0,15,2,,,,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1B,,1,
'22C6B,称量间,B20,C,3.2,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1B,,1,
'22C41,称量后暂存间,B21,C,2.6,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1B,,1,
'22C17,胶塞暂存间,B18,C,2.6,0,30,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1B,,0,
'22BED,物净,B23,CNC,2.6,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1B,,0,
'22BC3,气锁,B19,C,2.6,0,15,2,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1B,,0,
'22B99,原辅料暂存间,B22,C,2.6,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1B,,0,
'22B6F,废弃物暂存间,B25,CNC,2.6,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1B,,0,
'22B45,废弃物传出间,B29,C,2.6,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1B,,0,
'22B1B,器具清洗间,B28,C,2.6,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,间歇,50,,,,,,,,,,,1B,,1,
'22AF1,干燥间,B26,C,2.6,0,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1B,,1,
'22AC7,器具暂存间,B27,C,2.6,0,30,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1B,,1,
'22A9D,洁净走廊,B30,C,2.6,0,25,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1B,,1,
'22A73,洁具清洗间,B38,C,2.6,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,间歇,100,,,,,,,,,,,1B,,0,
'22A49,洁具暂存间,B42,C,2.6,0,15,2,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1B,,0,
'22A1F,中间化验,B32,C,2.6,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1B,,0,
'229F5,模具间,B37,C,2.6,0,30,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1B,,0,
'229CB,男二更,B36,C,2.6,0,15,2,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1B,,0,
'229A1,男一更,B39,CNC,2.6,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1B,,0,
'22977,女二更,B35,C,2.6,0,15,1,,,,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1B,,1,
'2294D,女一更,B40,CNC,2.6,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1B,,1,
'22923,整衣,B33,C,2.6,0,20,1,,,,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1B,,0,
'228F9,洗衣,B41,C,2.6,0,15,2,,,,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1B,,0,
'228CF,清洁间,C63,CNC,2.8,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'228A5,CNC走廊,C31,CNC,3,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'2287B,生产管理,C51,,3,0,,1,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'22851,空调机房,C36,,2.8,0,,1,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'22827,货厅,C01,,2.8,0,,1,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1C,,1,
'227FD,外包材间,C08,CNC,3,0,,1,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1C,,1,
'227D3,制粒间,C43,D,4.2,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,少量,100,,,,,,,,,1C,,1,
'227A9,颗粒内包缓冲,C03,CNC,2.6,0,5,1,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1C,,1,
'2277F,铝塑内包2缓冲,C06,CNC,2.6,0,5,2,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'22755,铝塑内包1缓冲,C07,CNC,2.6,0,5,1,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'2272B,散剂内包缓冲,C04,CNC,2.6,0,5,1,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'22701,瓶内包缓冲,C05,CNC,2.6,0,5,2,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'226D7,铝塑内包2,C10,D,4,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'226AD,铝塑内包1,C11,D,4,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'22683,颗粒内包,C15,D,4,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,1,
'22659,散剂内包,C12,D,4,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,1,
'2262F,瓶内包,C14,D,4,0,15,2,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,1,
'22605,外包间,C02,CNC,3.5,0,,1,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1C,,1,
'225DB,标签暂存间,C09,CNC,2.6,0,,1,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'225B1,废弃物暂存间,C13,CNC,2.6,0,5,1,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'22587,废弃物传出间,C16,D,2.6,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'2255D,内包材间,C19,D,2.6,0,30,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'22533,物净,C24,CNC,2.6,0,5,1,26,18,,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'22509,气锁,C25,D,2.6,0,15,1,26,18,,65,45,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'224DE,洁净走廊,C48,D,2.6,0,25,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,1,
'224B4,洁具清洗间,C56,D,2.6,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,间歇,100,,,,,,,,,,,1C,,1,
'2248A,洁具暂存间,C62,D,2.6,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'22460,中间化验,C49,D,2.6,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'22436,模具间,C57,D,2.6,0,30,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'2240C,干燥间,C32,D,2.6,0,20,2,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'223E2,器具暂存间,C28,D,2.6,0,30,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,0,
'223B8,器具清洗间,C29,D,2.6,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,间歇,50,,,,,,,,,,,1C,,0,
'2238E,中间体暂存间,C22,D,2.6,0,15,2,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,1,
'22364,包衣辅机间,C17,CNC,2.8,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1C,,1,
'2233A,包衣间,C18,D,3.5,0,15,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,1,
'22310,包衣前室,C21,D,2.6,0,20,1,,,18-26,,,45-65,,,,,,,,,,,,,,,,,,,,,,,,,1C,,1,
