element_name,element_material,element_status,element_standard,comment
筒体、封头,Q345R,热轧,GB/T 713-2014,
法兰盖,16MnⅢ,正火,NB/T 47008-2017,
接管,20,热轧,GB/T 8163-2008,
接管法兰,16MnⅢ,正火,NB/T 47008-2017,
